Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.000299600199777236,-0.000764061882273962,0.0537544977182631,0,0,0,0.474902049786311,0.000923329864477317,-4.432210879482E-08,-2.49993493078715E-07,0.000799649174928032,-3.89653228401918E-09,0.00171301458246196,0,0,0,0,0,0,package://assem1_v4/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/base_link.STL,,rbot_base-1;cumMotor-2/JGA25-371-mount-1;cumMotor-2/JGA25-371_12VDC_250RPM.stp-1;cumMotor-1/JGA25-371-mount-1;cumMotor-1/JGA25-371_12VDC_250RPM.stp-1;rbot_layer1-2;Abstandhalter M3 IG-AG 30mm+6mm part-7;Abstandhalter M3 IG-AG 30mm+6mm part-8;rbot_layer3-1;Abstandhalter M3 IG-AG 30mm+6mm part-3;rbot_layer2-1;Abstandhalter M3 IG-AG 30mm+6mm part-4;Abstandhalter M3 IG-AG 50mm+6mm part-3;Abstandhalter M3 IG-AG 50mm+6mm part-2;Abstandhalter M3 IG-AG 50mm+6mm part-1;Abstandhalter M3 IG-AG 30mm+6mm part-2;Abstandhalter M3 IG-AG 30mm+6mm part-6;Abstandhalter M3 IG-AG 50mm+6mm part-4;Abstandhalter M3 IG-AG 30mm+6mm part-1;Abstandhalter M3 IG-AG 30mm+6mm part-5;rbot_washer-5;L298N_part-1;rbot_washer-6;rbot_washer-7;rbot_washer-14;rbot_washer-11;LTC 3780 Mudule v11 part-1;rbot_washer-10;rbot_washer-13;rbot_washer-12;abstandhalter m3 ig-ag 20mm+6mm part-1;abstandhalter m3 ig-ag 20mm+6mm part-2,Base_origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
R_wheel_link,0.000423204973116017,0.00581998639716252,-0.000740394904887015,0,0,0,0.0419551495559627,1.83817688523008E-05,-2.03879953368318E-10,-1.49376909438339E-08,3.09193291489253E-05,3.7910497666528E-10,1.83999795456458E-05,0,0,0,0,0,0,package://assem1_v4/meshes/R_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/R_wheel_link.STL,,copper_wheel_with_adapter_part-1,R_origin,Axis_wheel,Rwheel_joint,continuous,-0.000404391754331336,-0.105251106428109,0.0250000000000001,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
L_wheel_link,-0.000410324113401153,-0.00581998639719117,0.000747610317289837,0,0,0,0.0419551495558706,1.83817046427243E-05,-2.16791577850274E-10,-1.48983618867278E-08,3.09193291489218E-05,3.71872305864664E-10,1.84000437551973E-05,0,0,0,0,0,0,package://assem1_v4/meshes/L_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/L_wheel_link.STL,,copper_wheel_with_adapter_part-2,L_origin,Axis_wheel,Lwheel_joint,continuous,-0.000404391754331338,0.105251106428109,0.0250000000000008,0,0,0,base_link,0,-1,0,,,,,,,,,,,,
Ball_front_link,4.57966997657877E-16,-3.53026803513214E-06,0.00545097611897468,0,0,0,0.00525183168276763,4.83733544502167E-07,6.80369534809298E-16,6.47002468094357E-23,2.1847360696902E-07,2.5529250701522E-10,5.29149897055848E-07,0,0,0,0,0,0,package://assem1_v4/meshes/Ball_front_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/Ball_front_link.STL,,W420 Universal Steel Ball Caster_part-1;W420_spacer-11;W420_spacer-12,Front_origin,Axis_Ballfront_joint,Ballfront_joint,fixed,0.074595608245668,-0.000183494055149488,0.00159999999999952,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Ball_back_link,4.44089209850063E-16,-3.53026803512693E-06,0.00545097611897468,0,0,0,0.00525183168276762,4.83733544502167E-07,6.80369462261404E-16,3.87749648050902E-23,2.18473606969021E-07,2.55292507015327E-10,5.29149897055847E-07,0,0,0,0,0,0,package://assem1_v4/meshes/Ball_back_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/Ball_back_link.STL,,W420 Universal Steel Ball Caster_part-2;W420_spacer-13;W420_spacer-14,Back_origin,Axis_Ballback_joint,Ballback_joint,fixed,-0.0754043917543321,-0.000183494055149433,0.00159999999999952,0,0,0,base_link,0,0,0,,,,,,,,,,,,
Lidar_link,0.0148415079751369,0.000325148864721077,-0.0211536208141642,0,0,0,0.0312409126861326,8.87771234373125E-06,-1.31314585063882E-07,1.13309561626867E-07,1.4493553041838E-05,3.3673144047221E-08,2.25289098075929E-05,0,0,0,0,0,0,package://assem1_v4/meshes/Lidar_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/Lidar_link.STL,,X3_Lidar_part-1,lidar_origin,lidar_axis,Lidar_joint,continuous,-0.00686404999738738,-0.00013029331516768,0.1721,0,0,0,base_link,0,0,1,,,,,,,,,,,,
imu_link,-0.00238812545770593,-0.000157206619356118,-0.00229065136771811,0,0,0,0.000673876938953716,2.19297264797498E-08,-2.82977769065327E-14,-2.6953030967514E-14,9.33459184266938E-09,-1.16326526466434E-14,2.98834978397075E-08,0,0,0,0,0,0,package://assem1_v4/meshes/imu_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem1_v4/meshes/imu_link.STL,,MPU6050_nude-1,imu_origin,Axis_imu_joint,imu_joint,fixed,-0.00494016789724259,-0.0369909162737564,0.114519999987995,0,0,0,base_link,0,0,0,,,,,,,,,,,,
